lat,lon,densidade,densidade_baseline
-23.97304697986577,-46.82290604026846,1757.1071595731814,1719.061942323189
-23.968677852348996,-46.82290604026846,1825.6013375204952,1730.9897925898722
-23.96430872483221,-46.82290604026846,1895.9426352758703,1742.8502274031648
-23.95993959731544,-46.82290604026846,1968.140000234516,1754.640733964755
-23.95557046979866,-46.82290604026846,2042.200235220771,1766.3588004795877
-23.95120134228188,-46.82290604026846,2118.1279017079883,1778.0019170301944
-23.9468322147651,-46.82290604026846,2195.9252241912486,1789.5675764567566
-23.94246308724832,-46.82290604026846,2275.591996014254,1801.0532752413758
-23.938093959731543,-46.82290604026846,2357.125486955709,1812.4565143968548
-23.933724832214764,-46.82290604026846,2440.5203528892675,1823.7748003590877
-23.929355704697983,-46.82290604026846,2525.768547835417,1835.0056458829545
-23.92498657718121,-46.82290604026846,2612.859238729039,1846.1465709409745
-23.92061744966443,-46.82290604026846,2701.778723229279,1857.1951036246207
-23.91624832214765,-46.82290604026846,2792.510350902073,1868.148781047485
-23.91187919463087,-46.82290604026846,2885.0344481058523,1879.0051502500721
-23.90751006711409,-46.82290604026846,2979.328246913725,1889.7617691057371
-23.903140939597314,-46.82290604026846,3075.3658184016217,1900.4162072271497
-23.898771812080536,-46.82290604026846,3173.118010633345,1910.9660468731138
-23.89440268456376,-46.82290604026846,3272.5523916682546,1921.4088838548862
-23.89003355704698,-46.82290604026846,3373.6331979141387,1931.7423284419096
-23.8856644295302,-46.82290604026846,3476.321288141681,1941.9640062661588
-23.88129530201342,-46.82290604026846,3580.5741034710377,1952.0715592249067
-23.87692617449664,-46.82290604026846,3686.345633631528,1962.0626463812114
-23.872557046979864,-46.82290604026846,3793.5863897885247,1971.934944861789
-23.86818791946309,-46.82290604026846,3902.243384217671,1981.6861507517276
-23.863818791946308,-46.82290604026846,4012.260117097661,1991.3139799855594
-23.85944966442953,-46.82290604026846,4123.576570677848,2000.8161692342178
-23.85508053691275,-46.82290604026846,4236.129211062834,2010.190476787483
-23.850711409395974,-46.82290604026846,4349.850997840519,2019.4346834313117
-23.846342281879195,-46.82290604026846,4464.671401763073,2028.546593319588
-23.84197315436241,-46.82290604026846,4580.516430671704,2037.524034840002
-23.83760402684564,-46.82290604026846,4697.308663836898,2046.3648614731642
-23.833234899328858,-46.82290604026846,4814.967294866213,2055.0669526451898
-23.82886577181208,-46.82290604026846,4933.408183307648,2063.628214572312
-23.8244966442953,-46.82290604026846,5052.543915056692,2072.046581098033
-23.820127516778523,-46.82290604026846,5172.283871649743,2080.320014521654
-23.815758389261745,-46.82290604026846,5292.5343085027325,2088.446506418054
-23.811389261744967,-46.82290604026846,5413.198442127796,2096.42407844814
-23.807020134228186,-46.82290604026846,5534.176546336244,2104.250783159584
-23.802651006711407,-46.82290604026846,5655.366057406025,2111.9247047772546
-23.79828187919463,-46.82290604026846,5776.661688168419,2119.4439599831558
-23.79391275167785,-46.82290604026846,5897.95555093726,2126.8066986850836
-23.789543624161077,-46.82290604026846,6019.137289177056,2134.011104773863
-23.78517449664429,-46.82290604026846,6140.094217777611,2141.0553968686177
-23.78080536912752,-46.82290604026846,6260.711471773587,2147.93782904952
-23.77643624161074,-46.82290604026846,6380.872163316755,2154.6566915778963
-23.77206711409396,-46.82290604026846,6500.457546682609,2161.210311602942
-23.76769798657718,-46.82290604026846,6619.34719105949,2167.597053854907
-23.7633288590604,-46.82290604026846,6737.419160844261,2173.815321324143
-23.758959731543623,-46.82290604026846,6854.550203134294,2179.8635559258046
-23.754590604026845,-46.82290604026846,6970.615942082658,2185.7402391496494
-23.750221476510067,-46.82290604026846,7085.491079750579,2191.4438926946764
-23.74585234899329,-46.82290604026846,7199.049603067758,2196.9730790881667
-23.74148322147651,-46.82290604026846,7311.164996482218,2202.326402288801
-23.73711409395973,-46.82290604026846,7421.7104598562655,2207.5025082734974
-23.73274496644295,-46.82290604026846,7530.559131140551,2212.5000856075503
-23.728375838926173,-46.82290604026846,7637.584313334484,2217.3178659979067
-23.724006711409395,-46.82290604026846,7742.659705218352,2221.9546248290253
