NUM_BO;DATA_OCORRENCIA_BO;HORA_OCORRENCIA_BO;NATUREZA APURADA;RUBRICA;DESC_PERIODO;DESCR_TIPOLOCAL;LATITUDE;LONGITUDE;BAIRRO;LOGRADOURO;NOME_DELEGACIA_CIRC;NOME_SECCIONAL_CIRC;FLAG_STATUS_CRIME;FLAG_FLAGRANTE;MES;ANO
BD0049;2026-01-23;16:30:00;TENTATIVA DE HOMICIDIO;HomicIdio (art. 121);;Via Pública;-23.52761003;-46.66088449;BARRA FUNDA;AVENIDA PACAEMBU;23º D.P. PERDIZES;DEL.SEC.3º OESTE;T;S;1.0;2026.0
BD4473;2026-01-23;17:30:00;TENTATIVA DE HOMICIDIO;HomicIdio (art. 121);;Favela;;;VEDAÇAO DA DIVULGAÇAO DOS DADOS;VEDAÇAO DA DIVULGAÇAO DOS DADOS;63º D.P. VILA JACUI;DEL.SEC.7º ITAQUERA;T;S;1.0;2026.0
BE6508;2026-01-24;07:45:00;HOMICIDIO DOLOSO;HomicIdio (art. 121);;Via Pública;-23.5790126;-46.7915343;JARDIM BOA VISTA (ZONA OESTE);Rua AntOnio JosE Dias;75º D.P. JARDIM ARPOADOR;DEL.SEC.3º OESTE;C;N;1.0;2026.0
BE6508;2026-01-24;07:45:00;HOMICIDIO DOLOSO;HomicIdio (art. 121);;Via Pública;-23.5790126;-46.7915343;JARDIM BOA VISTA (ZONA OESTE);Rua AntOnio JosE Dias;75º D.P. JARDIM ARPOADOR;DEL.SEC.3º OESTE;C;N;1.0;2026.0
BF1212;2026-01-24;10:00:00;HOMICIDIO DOLOSO;FeminicIdio;;Residência;;;VEDAÇAO DA DIVULGAÇAO DOS DADOS;VEDAÇAO DA DIVULGAÇAO DOS DADOS;25º D.P. PARELHEIROS;DEL.SEC.6º SANTO AMARO;C;N;1.0;2026.0
BF5099;2026-01-25;00:13:00;TENTATIVA DE HOMICIDIO;HomicIdio (art. 121);;Via Pública;-23.6653525;-46.7512957;PARQUE SANTO ANTÔNIO;Rua Valdomiro dos Santos Pereira;92º D.P. PQ. SANTO ANTONIO;DEL.SEC.6º SANTO AMARO;T;N;1.0;2026.0
BF5521;2026-01-25;03:13:00;TENTATIVA DE HOMICIDIO;FeminicIdio;;Residência;;;VEDAÇAO DA DIVULGAÇAO DOS DADOS;VEDAÇAO DA DIVULGAÇAO DOS DADOS;93º D.P. JAGUARE;DEL.SEC.3º OESTE;T;N;1.0;2026.0
BF6064;2026-01-25;08:06:00;TENTATIVA DE HOMICIDIO;HomicIdio (art. 121);;Condomínio Residencial;;;VEDAÇAO DA DIVULGAÇAO DOS DADOS;VEDAÇAO DA DIVULGAÇAO DOS DADOS;05º D.P. ACLIMACAO;DEL.SEC.1º CENTRO;T;S;1.0;2026.0
BF6064;2026-01-25;08:06:00;TENTATIVA DE HOMICIDIO;FeminicIdio;;Condomínio Residencial;;;VEDAÇAO DA DIVULGAÇAO DOS DADOS;VEDAÇAO DA DIVULGAÇAO DOS DADOS;05º D.P. ACLIMACAO;DEL.SEC.1º CENTRO;T;S;1.0;2026.0
BF8502;2026-01-24;;HOMICIDIO DOLOSO;HomicIdio (art. 121);A noite;Saúde;-23.5834855;-46.408892;CIDADE TIRADENTES;Avenida dos Metalúrgicos;54º D.P. CID. TIRADENTES;DEL.SEC.8º SAO MATEUS;C;N;1.0;2026.0
